"AnimalID","Name","DateTime","OutcomeType","OutcomeSubtype","AnimalType","SexuponOutcome","AgeuponOutcome","Breed","Color"
"A671352","Roman","1/26/2014 15:19","Adoption","","Dog","Neutered Male","3 years","Labrador Retriever Mix","Brown"
"A695943","Tucker","2/8/2015 14:55","Adoption","","Dog","Neutered Male","2 years","Bernese Mountain Dog Mix","Tricolor"
"A682535","","7/4/2014 18:42","Transfer","Partner","Dog","Neutered Male","4 months","Plott Hound Mix","Brown Brindle/Red Tick"
"A713263","Houston","10/16/2015 17:24","Return_to_owner","","Dog","Intact Male","3 years","English Bulldog","Brown Brindle"
"A681679","Captain","12/5/2014 17:10","Transfer","Partner","Dog","Neutered Male","1 year","Pit Bull Mix","Brown/White"
"A678536","Tulip","5/17/2014 13:44","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","White/Brown"
"A718585","","1/7/2016 12:44","Transfer","Partner","Dog","Neutered Male","2 months","Labrador Retriever Mix","Black/Tan"
"A543073","Tiny Tinker","5/11/2015 18:38","Return_to_owner","","Dog","Spayed Female","9 years","Chihuahua Shorthair","Brown"
"A697959","Nigel","5/31/2015 18:53","Adoption","","Dog","Neutered Male","2 years","Pit Bull Mix","Brown"
"A715378","Sadie","11/21/2015 11:17","Adoption","","Dog","Spayed Female","6 months","Pointer Mix","White/Blue"
"A697281","","3/3/2015 13:14","Adoption","","Dog","Neutered Male","3 months","Chihuahua Longhair Mix","Tricolor"
"A681576","Pippin","7/7/2014 16:52","Adoption","Foster","Dog","Neutered Male","1 month","Labrador Retriever Mix","Chocolate/White"
"A716400","Calliope","11/24/2015 0:00","Transfer","Partner","Dog","Intact Female","1 year","Yorkshire Terrier Mix","Black/Tan"
"A677460","Petra","5/16/2014 14:58","Adoption","","Dog","Spayed Female","2 years","Pit Bull Mix","Blue/White"
"A675049","Judy","3/22/2014 16:23","Return_to_owner","","Dog","Spayed Female","3 years","Labrador Retriever Mix","Black/White"
"A660046","Grace","3/9/2014 17:06","Return_to_owner","","Dog","Spayed Female","2 years","American Staffordshire Terrier Mix","Blue/White"
"A660910","Kief","10/24/2013 12:31","Return_to_owner","","Dog","Neutered Male","2 years","Dachshund Mix","Brown Brindle/White"
"A686377","","8/25/2014 17:01","Adoption","","Dog","Neutered Male","2 months","Dachshund Wirehair Mix","Brown/Black"
"A695654","Asha","1/27/2015 14:06","Euthanasia","Suffering","Dog","Intact Female","8 months","Labrador Retriever Mix","Black"
"A680506","Shaka","6/7/2014 17:09","Adoption","","Dog","Neutered Male","3 months","Chihuahua Shorthair Mix","Buff/White"
"A650694","Riku","12/18/2013 14:04","Return_to_owner","","Dog","Neutered Male","1 year","Blue Lacy Mix","Blue/White"
"A698953","","3/25/2015 17:17","Adoption","","Dog","Spayed Female","7 years","Miniature Poodle Mix","White"
"A696584","Pequina","3/7/2015 15:46","Adoption","","Dog","Spayed Female","2 years","Dachshund Mix","Brown"
"A690020","Jax","10/15/2014 18:25","Return_to_owner","","Dog","Intact Female","4 months","Boxer Mix","Brown Brindle/White"
"A663346","July","11/10/2013 18:25","Euthanasia","Aggressive","Dog","Spayed Female","1 year","Pit Bull Mix","Black/White"
"A665221","","10/29/2013 11:28","Transfer","Partner","Dog","Intact Male","1 month","Australian Cattle Dog Mix","Brown/Black"
"A667366","","11/17/2013 18:28","Return_to_owner","","Dog","Spayed Female","3 years","Chihuahua Shorthair Mix","Black/Tan"
"A657652","Mason","6/3/2014 11:47","Adoption","","Dog","Neutered Male","3 years","Labrador Retriever Mix","Black"
"A611032","Trousers","8/5/2014 16:09","Return_to_owner","","Dog","Intact Male","6 years","Basset Hound","Tricolor"
"A707464","Cassius","7/26/2015 14:24","Adoption","","Dog","Intact Male","8 months","Pit Bull Mix","White/Blue"
"A643703","Popcorn","3/11/2014 12:55","Return_to_owner","","Dog","Neutered Male","3 years","Cocker Spaniel Mix","Yellow"
"A668595","","12/13/2013 11:41","Return_to_owner","","Dog","Intact Male","4 weeks","Chihuahua Shorthair Mix","Tricolor"
"A713418","","10/7/2015 8:47","Transfer","Partner","Dog","Intact Male","2 months","Australian Cattle Dog Mix","Buff/White"
"A711562","Bino","9/8/2015 18:00","Euthanasia","Suffering","Dog","Intact Male","1 year","Dachshund Mix","Black"
"A716766","Marley","11/24/2015 16:51","Return_to_owner","","Dog","Neutered Male","5 years","Cocker Spaniel Mix","Black"
"A616576","Lucy","12/26/2015 12:49","Return_to_owner","","Dog","Spayed Female","7 years","Blue Lacy Mix","Tricolor"
"A663819","Zeus","11/11/2015 18:55","Return_to_owner","","Dog","Neutered Male","3 years","Pit Bull Mix","Black/White"
"A713084","Haelo","10/5/2015 17:41","Adoption","","Dog","Neutered Male","6 years","Miniature Poodle Mix","Buff"
"A699468","Mary","4/3/2015 16:53","Transfer","Partner","Dog","Intact Female","2 months","Labrador Retriever Mix","Chocolate/White"
"A700335","Dorchester","7/4/2015 8:56","Euthanasia","Rabies Risk","Dog","Neutered Male","2 years","Pit Bull Mix","White/Brown"
"A653055","Leia","2/1/2015 12:29","Return_to_owner","","Dog","Spayed Female","2 years","Black Mix","Black/Tan"
"A717176","","12/3/2015 16:13","Transfer","Partner","Dog","Unknown","1 week","Labrador Retriever Mix","White"
"A707573","Squirt","7/15/2015 13:14","Return_to_owner","","Dog","Neutered Male","12 years","Chihuahua Shorthair Mix","White"
"A690543","Scarlet","3/25/2015 13:24","Return_to_owner","","Dog","Spayed Female","1 year","Pit Bull Mix","Chocolate/White"
"A704459","Maui","6/6/2015 16:26","Return_to_owner","","Dog","Spayed Female","11 years","Norfolk Terrier Mix","Cream"
"A675640","Tyrone","4/10/2014 11:22","Return_to_owner","","Dog","Neutered Male","2 years","Border Collie Mix","Black/White"
"A694435","Sam","1/6/2015 16:54","Transfer","Partner","Dog","Neutered Male","2 years","German Shepherd Mix","Black/Tan"
"A668653","Chubs","11/5/2015 14:23","Adoption","","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","Black"
"A705804","Chico","6/23/2015 11:08","Return_to_owner","","Dog","Neutered Male","3 years","Chihuahua Shorthair Mix","Brown"
"A674264","","3/14/2014 17:56","Adoption","","Dog","Spayed Female","10 months","Jack Russell Terrier Mix","Tricolor"
"A510475","Duke","7/4/2014 17:55","Return_to_owner","","Dog","Neutered Male","7 years","Pit Bull Mix","Red/White"
"A641103","Apollo","12/26/2015 15:48","Return_to_owner","","Dog","Intact Male","3 years","Siberian Husky","Black/White"
"A660275","Lucy","11/4/2013 15:40","Return_to_owner","","Dog","Spayed Female","2 years","Scottish Terrier Mix","Black"
"A717706","Hilde","12/13/2015 14:06","Return_to_owner","","Dog","Spayed Female","1 year","Labrador Retriever Mix","Red"
"A698495","Nugget","3/27/2015 14:39","Adoption","","Dog","Neutered Male","1 year","Chihuahua Shorthair Mix","Tan"
"A686675","Brisket","11/14/2014 16:24","Transfer","Partner","Dog","Neutered Male","1 year","Pit Bull Mix","Tan/White"
"A667942","Shadow","12/1/2013 19:00","Adoption","","Dog","Spayed Female","8 months","Labrador Retriever Mix","Black"
"A687003","Chico","11/12/2015 18:52","Return_to_owner","","Dog","Neutered Male","5 years","Chihuahua Longhair Mix","Cream"
"A711255","","9/4/2015 17:57","Transfer","Partner","Dog","Intact Female","4 weeks","Chihuahua Shorthair Mix","White"
"A680426","Lyla","6/2/2014 16:54","Return_to_owner","","Dog","Spayed Female","3 years","Labrador Retriever Mix","Yellow"
"A697537","Annie","11/5/2015 14:33","Adoption","","Dog","Spayed Female","3 years","Pit Bull Mix","Black/White"
"A695905","Mew","1/26/2015 17:48","Adoption","","Dog","Spayed Female","2 months","Border Collie Mix","Tricolor"
"A705731","Sven","6/24/2015 15:14","Transfer","Partner","Dog","Intact Male","3 months","Pit Bull Mix","White/Brown"
"A700025","Molly","4/9/2015 15:36","Return_to_owner","","Dog","Intact Female","10 years","Yorkshire Terrier Mix","Black/Tricolor"
"A624771","Cujo","1/26/2016 17:34","Return_to_owner","","Dog","Neutered Male","5 years","American Bulldog Mix","Tan"
"A526641","Kane","3/22/2015 15:23","Transfer","Partner","Dog","Neutered Male","7 years","Boxer","Brown/White"
"A695768","Sparkles","1/22/2015 14:27","Return_to_owner","","Dog","Spayed Female","1 year","Miniature Poodle","Apricot"
"A682900","Ellie","2/26/2015 15:22","Return_to_owner","","Dog","Intact Female","3 years","Jack Russell Terrier Mix","White/Brown"
"A671435","Dusty","3/8/2014 17:42","Adoption","Foster","Dog","Neutered Male","1 month","Chihuahua Shorthair Mix","Brown/Black"
"A697766","Riley","3/1/2015 11:04","Return_to_owner","","Dog","Spayed Female","1 year","German Shepherd Mix","Tan/Black"
"A720466","Axel","2/16/2016 11:16","Return_to_owner","","Dog","Neutered Male","10 years","Doberman Pinsch","Black/Tan"
"A703750","Z","6/2/2015 17:55","Return_to_owner","","Dog","Neutered Male","3 years","Treeing Walker Coonhound Mix","Tricolor"
"A696236","Ollie","2/11/2015 17:16","Transfer","Partner","Dog","Intact Male","2 years","Australian Cattle Dog Mix","Black"
"A670716","Kitty","1/13/2014 15:52","Return_to_owner","","Dog","Spayed Female","8 years","Australian Cattle Dog Mix","Sable"
"A673103","Chloe","3/5/2014 18:40","Adoption","","Dog","Spayed Female","3 years","Yorkshire Terrier Mix","White/Gray"
"A688281","Jake","4/20/2015 18:48","Adoption","","Dog","Neutered Male","9 months","Rhod Ridgeback Mix","Red/Tan"
"A700948","","4/22/2015 16:20","Euthanasia","Suffering","Dog","Unknown","9 years","Australian Cattle Dog Mix","Tan/Brown"
"A689384","Lucas","11/8/2014 16:21","Adoption","","Dog","Neutered Male","1 year","Labrador Retriever Mix","Brown Brindle"
"A702935","Layla","5/19/2015 18:06","Return_to_owner","","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","White/Tan"
"A680027","","6/7/2014 12:53","Transfer","Partner","Dog","Intact Male","2 weeks","Pit Bull Mix","Brown/White"
"A586222","Wesley","7/21/2014 14:57","Return_to_owner","","Dog","Neutered Male","3 years","Chihuahua Shorthair Mix","White/Tricolor"
"A675402","Cookie","4/16/2014 12:51","Transfer","Partner","Dog","Spayed Female","7 years","German Shepherd Mix","Brown/Black"
"A715843","Gabe","11/30/2015 13:58","Transfer","Partner","Dog","Neutered Male","5 years","Labrador Retriever Mix","Brown"
"A691568","Tex","11/8/2014 17:32","Return_to_owner","","Dog","Neutered Male","6 years","Chihuahua Shorthair Mix","Black/White"
"A681155","Jeff","12/11/2014 17:07","Euthanasia","Suffering","Dog","Neutered Male","2 years","Labrador Retriever Mix","Tan/White"
"A702846","","5/25/2015 16:52","Adoption","","Dog","Spayed Female","4 months","Chinese Sharpei Mix","Red"
"A718953","","1/13/2016 17:16","Adoption","","Dog","Neutered Male","2 months","Dachshund Mix","Black"
"A668697","Pancho Wolf","6/25/2015 18:11","Return_to_owner","","Dog","Neutered Male","3 years","Cardigan Welsh Corgi Mix","Tricolor"
"A717656","","12/22/2015 13:04","Adoption","","Dog","Spayed Female","3 years","Chihuahua Shorthair Mix","Tan"
"A663020","June","10/19/2013 17:04","Adoption","Foster","Dog","Spayed Female","2 months","Chihuahua Shorthair Mix","Black"
"A695093","Windsor","2/19/2015 18:07","Adoption","","Dog","Neutered Male","7 years","Harrier","Brown/Tricolor"
"A670540","Snowflake","1/14/2014 17:48","Adoption","","Dog","Spayed Female","4 years","Miniature Poodle Mix","White/White"
"A709799","","8/14/2015 13:21","Transfer","Partner","Dog","Intact Female","1 month","Australian Kelpie Mix","Black"
"A711832","","9/17/2015 9:28","Transfer","Partner","Dog","Intact Female","1 month","German Shepherd Mix","Red"
"A719849","Eula","2/7/2016 12:42","Transfer","Partner","Dog","Spayed Female","5 months","Labrador Retriever Mix","Black/White"
"A716898","Jane","12/12/2015 12:47","Adoption","","Dog","Spayed Female","2 years","Labrador Retriever Mix","White/Black"
"A666137","Rue","11/15/2013 17:50","Adoption","","Dog","Spayed Female","12 years","Harrier Mix","Tricolor"
"A693627","Howler","12/15/2014 9:35","Return_to_owner","","Dog","Neutered Male","2 years","Anatol Shepherd","Brown/Black"
"A717028","Luke","12/1/2015 16:19","Return_to_owner","","Dog","Intact Male","9 months","American Staffordshire Terrier Mix","Fawn/White"
"A561786","Betsy","6/1/2014 13:22","Return_to_owner","","Dog","Spayed Female","9 years","Basset Hound Mix","White/Brown"
"A694394","Annie","1/5/2015 16:38","Adoption","","Dog","Spayed Female","2 years","Miniature Schnauzer Mix","Buff"
"A688254","Coco","9/21/2014 12:01","Adoption","","Dog","Spayed Female","5 months","Rottweiler Mix","Black/Brown"
"A710692","Lucille","8/31/2015 11:10","Adoption","","Dog","Spayed Female","4 months","Mexican Hairless Mix","Tan/Black"
"A718492","Dexter","1/9/2016 19:02","Adoption","","Dog","Neutered Male","2 months","Labrador Retriever Mix","Black/White"
"A689090","Riddle","10/5/2014 17:42","Adoption","","Dog","Neutered Male","2 months","Redbone Hound Mix","Brown/Black"
"A693761","Chico","12/18/2014 18:13","Adoption","","Dog","Neutered Male","2 years","Chihuahua Shorthair Mix","Brown/White"
"A593726","Fiona","12/19/2013 15:01","Return_to_owner","","Dog","Spayed Female","2 years","Afghan Hound Mix","Tan/White"
"A670643","Hank","1/26/2014 12:44","Return_to_owner","","Dog","Neutered Male","2 years","Pointer Mix","Brown/White"
"A682762","Gabby","7/2/2014 18:54","Return_to_owner","","Dog","Intact Female","3 years","Pit Bull Mix","Blue/White"
"A683352","","7/13/2014 17:14","Adoption","","Dog","Spayed Female","2 months","Dachshund Mix","Sable/White"
"A673275","Prince","3/19/2014 15:17","Euthanasia","Aggressive","Dog","Intact Male","3 years","Pit Bull Mix","Blue Tiger/White"
"A679058","Penelope","5/16/2014 12:50","Return_to_owner","","Dog","Spayed Female","5 years","Labrador Retriever Mix","Black/Brown"
"A693059","Rigby","5/3/2015 13:29","Adoption","","Dog","Neutered Male","8 months","Border Collie Mix","Blue/White"
"A682578","","7/23/2014 16:02","Transfer","Partner","Dog","Intact Female","1 month","Miniature Poodle Mix","Black/White"
"A695371","Sylvie","1/19/2015 12:36","Adoption","","Dog","Spayed Female","1 year","Catahoula Mix","Yellow Brindle"
"A707260","Bowie","7/17/2015 18:00","Adoption","","Dog","Neutered Male","6 years","Swedish Vallhund Mix","Sable"
"A720615","Nikita","2/12/2016 18:51","Return_to_owner","","Dog","Spayed Female","6 months","Australian Kelpie Mix","Black/Tan"
"A666565","Ash","11/26/2013 18:19","Adoption","","Dog","Intact Female","1 year","Pit Bull Mix","Blue/White"
"A694848","","1/20/2015 14:43","Transfer","Partner","Dog","Intact Female","2 weeks","Border Collie Mix","Black/White"
"A673652","Fancy","3/28/2014 14:39","Transfer","Partner","Dog","Neutered Male","2 years","Papillon Mix","Black/White"
"A687252","Betty","9/3/2014 13:52","Transfer","Partner","Dog","Spayed Female","1 year","Miniature Schnauzer Mix","Gray"
"A717907","","12/21/2015 19:13","Adoption","","Dog","Neutered Male","2 months","Labrador Retriever Mix","Tan"
"A664945","","10/15/2013 12:17","Euthanasia","Suffering","Dog","Intact Male","10 years","Cocker Spaniel","White/Tan"
"A657904","Estrella","7/23/2014 14:30","Adoption","","Dog","Spayed Female","2 years","Boxer Mix","White/Brown Brindle"
"A670155","Johnny","1/6/2014 17:19","Adoption","","Dog","Neutered Male","3 months","Border Collie Mix","Tan/White"
"A688226","","9/20/2014 18:58","Adoption","","Dog","Spayed Female","1 year","Chihuahua Shorthair Mix","Tan/White"
"A535012","Negro","9/8/2014 11:56","Return_to_owner","","Dog","Neutered Male","7 years","Chow Chow Mix","Black"
"A683456","Annabella","7/21/2014 18:08","Transfer","Partner","Dog","Intact Female","2 years","Labrador Retriever Mix","White"
"A721025","Willie","2/20/2016 12:53","Return_to_owner","","Dog","Neutered Male","12 years","Labrador Retriever Mix","Gold"
"A683654","","7/19/2014 10:46","Euthanasia","Behavior","Dog","Neutered Male","1 year","Pit Bull Mix","Brown Brindle/White"
"A679384","","5/24/2014 17:17","Adoption","","Dog","Spayed Female","2 months","Australian Shepherd Mix","Chocolate/White"
"A705433","","6/22/2015 16:18","Euthanasia","Suffering","Dog","Intact Male","1 month","Dachshund Mix","Tricolor"
"A683392","Saxon","7/21/2014 11:50","Transfer","Partner","Dog","Neutered Male","1 year","German Shepherd Mix","Brown/White"
"A690588","Yogi","11/1/2014 13:03","Return_to_owner","","Dog","Neutered Male","1 year","Blue Lacy Mix","Blue/White"
"A704672","Bentley","8/1/2015 17:27","Adoption","Foster","Dog","Neutered Male","1 month","Dachshund Wirehair Mix","Black/Tan"
"A701434","","5/3/2015 12:36","Transfer","Partner","Dog","Intact Female","1 month","Chihuahua Shorthair Mix","Brown"
"A695687","Frodo","1/20/2015 17:45","Return_to_owner","","Dog","Neutered Male","2 years","Miniature Schnauzer Mix","White"
"A697554","Jacob","3/2/2015 18:32","Adoption","","Dog","Neutered Male","4 months","English Pointer Mix","Brown/White"
"A694674","Ryder","1/27/2015 19:06","Adoption","","Dog","Spayed Female","1 year","Labrador Retriever Mix","Black/White"
"A664593","Chiquilla","10/9/2013 13:39","Adoption","","Dog","Spayed Female","2 years","Chihuahua Shorthair Mix","Brown/White"
"A705519","Sheos","6/20/2015 14:39","Return_to_owner","","Dog","Neutered Male","1 year","German Shepherd Mix","Brown/Tan"
"A689744","","10/14/2014 17:02","Adoption","","Dog","Neutered Male","3 years","Miniature Schnauzer Mix","Black/Gray"
"A676154","Harvey","4/12/2014 11:47","Transfer","Partner","Dog","Intact Male","6 months","Pit Bull Mix","Brown/White"
"A713410","Daisy","10/7/2015 11:54","Return_to_owner","","Dog","Intact Female","3 years","Yorkshire Terrier Mix","Black/Tan"
"A700056","Alyssa","5/31/2015 0:00","Transfer","Partner","Dog","Spayed Female","1 year","Pit Bull Mix","Brown Brindle"
"A689897","Annabelle","10/18/2014 14:43","Adoption","","Dog","Spayed Female","2 years","Australian Kelpie Mix","Black/Tan"
"A687423","Rory","9/14/2014 15:12","Transfer","Partner","Dog","Intact Male","10 months","Queensland Heeler Mix","Blue Tick"
"A694865","Cher","1/6/2015 15:06","Transfer","Partner","Dog","Intact Female","2 months","Yorkshire Terrier Mix","Black/Brown"
"A718299","Gemma","2/13/2016 18:38","Adoption","","Dog","Spayed Female","5 years","Pit Bull Mix","Brown/White"
"A680305","'Stache","8/13/2014 10:42","Adoption","Foster","Dog","Neutered Male","2 months","Australian Kelpie Mix","Sable"
